Data,dji_r,dji_p
2001-09-05,0.00357549933379177,10033.3
2001-09-06,-0.0193684875477019,9840.84
2001-09-10,-0.0242041811183248,9605.51
2001-09-20,-0.136941347268853,8376.21
2001-09-21,-0.0169038254389361,8235.81
2001-09-25,0.050219538916861,8659.97
2001-09-26,-0.0107481228988817,8567.39
2001-09-27,0.0132219742959604,8681.42
2001-09-28,0.0189566050290144,8847.56
2001-10-04,0.0238245307896737,9060.88
2001-10-05,0.00647833888910562,9119.77
2001-10-09,-0.00741024983760262,9052.44
2001-10-11,0.0387864392880234,9410.45
2001-10-16,-0.00279015306566795,9384.23
2001-10-17,-0.0162498472842966,9232.97
2001-10-18,-0.00758312827174728,9163.22
2001-10-19,0.00445247812852195,9204.11
2001-10-24,0.0152576609189174,9345.62
2001-10-25,0.0124711056508112,9462.9
2001-10-26,0.00865637739408837,9545.17
2001-10-29,-0.0293058267005207,9269.5
2001-11-05,0.0183356436843094,9441.03
2001-11-07,0.011933557077737,9554.37
2001-11-08,0.00346361128818613,9587.52
2001-11-09,0.00213383203693996,9608
2001-11-12,-0.0055974433251261,9554.37
2001-11-13,0.0203660747080668,9750.95
2001-11-16,0.0118301262346186,9866.99
2001-11-19,0.0110334755850269,9976.46
2001-11-21,-0.0143134035267409,9834.68
2001-11-26,0.014943689014817,9982.75
2001-11-27,-0.0110953601943572,9872.6
2001-11-28,-0.0164154242172517,9711.86
2001-11-29,0.012032110309709,9829.42
2001-11-30,0.00224988891197371,9851.56
2001-12-03,-0.00893176243778416,9763.96
2001-12-04,0.0132142854171034,9893.84
2001-12-05,0.0220379228150041,10114.3
2001-12-07,-0.00642738204907229,10049.5
2001-12-10,-0.0128238020537486,9921.45
2001-12-11,-0.00333976086081162,9888.37
2001-12-13,-0.0124062763006139,9766.45
2001-12-14,0.00456645121725318,9811.15
2001-12-18,0.0189045860064058,9998.39
2001-12-19,0.00718627789864458,10070.5
2001-12-20,-0.0085083641849446,9985.18
2001-12-28,0.0150901026544084,10137
2002-01-04,0.0120315031487887,10259.7
2002-01-17,-0.0407480834595937,9850.04
2002-01-18,-0.00796971279130911,9771.85
2002-01-22,-0.00595824842739689,9713.8
2002-01-23,0.00176500038619895,9730.96
2002-01-24,0.00666872958122492,9796.07
2002-01-30,-0.00339589455201074,9762.86
2002-01-31,0.0159675310106165,9920
2002-02-01,-0.00128509958040819,9907.26
2002-02-06,-0.0259586727184509,9653.39
2002-02-07,-0.0028995555832262,9625.44
2002-02-08,0.0122667477913902,9744.24
2002-02-15,0.0161654395049685,9903.04
2002-02-19,-0.0160730815130119,9745.14
2002-02-20,0.0199160207810288,9941.17
2002-02-21,-0.0107698055255438,9834.68
2002-02-22,0.0134800956324404,9968.15
2002-02-25,0.0176549603185999,10145.7
2002-02-26,-0.00300084130228393,10115.3
2002-02-27,0.00121524104883521,10127.6
2002-02-28,-0.00212516821854382,10106.1
2002-03-01,0.0256717394655148,10368.9
2002-03-04,0.0207970006918638,10586.8
2002-03-05,-0.0145957434560128,10433.4
2002-03-06,0.0134143302540628,10574.3
2002-03-07,-0.00463514529112725,10525.4
2002-03-08,0.00446490676763,10572.5
2002-03-11,0.00365375671422296,10611.2
2002-03-12,0.00198649063841985,10632.3
2002-03-13,-0.0123498666744417,10501.8
2002-03-14,0.00145583286492633,10517.1
2002-03-18,0.00575496139159561,10577.8
2002-03-19,0.00541178900595081,10635.2
2002-03-20,-0.0126416277981198,10501.6
2002-03-22,-0.00706189954928701,10427.7
2002-03-25,-0.0141001109530023,10281.7
2002-03-26,0.00694935217696096,10353.4
2002-03-27,0.00707403709349716,10426.9
2002-04-02,-0.010915896747789,10313.7
2002-04-04,-0.00764034881370413,10235.2
2002-04-08,0.00135713713755822,10249.1
2002-04-09,-0.00394959893221525,10208.7
2002-04-10,0.016804342902014,10381.7
2002-04-11,-0.0200028072275867,10176.1
2002-04-12,0.00144351890101976,10190.8
2002-04-15,-0.00957388564423652,10093.7
2002-04-17,0.0125133927482118,10220.8
2002-04-18,-0.00151766641454904,10205.3
2002-04-19,0.00506295553320327,10257.1
2002-04-30,-0.0307775692242373,9946.22
2002-05-02,0.0145405423981159,10091.9
2002-05-07,-0.0256280820609407,9836.55
2002-05-08,0.0305604573719564,10141.8
2002-05-10,-0.0201065248556934,9939.92
2002-05-13,0.0169363866552495,10109.7
2002-05-14,0.0184640531986179,10298.1
2002-05-15,-0.00529652972714851,10243.7
2002-05-16,0.0044319189666862,10289.2
2002-05-17,0.00619119033359468,10353.1
2002-05-22,-0.0190342639003303,10157.9
2002-05-23,0.0057131793762584,10216.1
2002-05-24,-0.0110038314304682,10104.3
2002-05-28,-0.0122196813929325,9981.58
2002-05-29,-0.00588206846290328,9923.04
2002-05-31,0.00022268920991494,9925.25
2002-06-05,-0.0130262134313424,9796.8
2002-06-06,-0.0177293248646023,9624.64
2002-06-07,-0.00363999941830031,9589.67
2002-06-11,-0.00757948520814925,9517.26
2002-06-12,0.0104991983516844,9617.71
2002-06-13,-0.0120196985799554,9502.8
2002-06-14,-0.00301312183852817,9474.21
2002-06-18,0.0241832442093986,9706.12
2002-06-19,-0.0150046748719717,9561.57
2002-06-20,-0.0136681616554746,9431.77
2002-06-24,-0.0160261296070381,9281.82
2002-06-25,-0.016840316623183,9126.82
2002-06-26,-0.000735466218422323,9120.11
2002-06-27,0.0162928841343019,9269.92
2002-06-28,-0.00288011226907809,9243.26
2002-07-02,-0.0258093193783728,9007.75
2002-07-08,0.0292265088603553,9274.9
2002-07-11,-0.052386256756223,8801.53
2002-07-12,-0.0133822880717234,8684.53
2002-07-16,-0.0246456623894853,8473.11
2002-07-17,0.00815374422278224,8542.48
2002-07-18,-0.0156905337162637,8409.49
2002-07-22,-0.0772159761263516,7784.58
2002-07-23,-0.0106206751304859,7702.34
2002-07-24,0.0615472158227559,8191.29
2002-07-26,0.00888452872736537,8264.39
2002-07-30,0.0490690615408966,8680.03
2002-07-31,0.00649496846460602,8736.59
2002-08-01,-0.0266752694520753,8506.62
2002-08-02,-0.0230084913162355,8313.13
2002-08-06,-0.00470724715629316,8274.09
2002-08-07,0.0217650418667509,8456.15
2002-08-08,0.0298096940179009,8712.02
2002-08-12,-0.00265848321986257,8688.89
2002-08-14,0.00624363841487399,8743.31
2002-08-21,0.0241487458738923,8957.02
2002-08-22,0.0107293044108064,9053.64
2002-08-23,-0.0201584370069632,8872.96
2002-08-28,-0.0203649653049925,8694.09
2002-08-30,-0.00352468651112848,8663.5
2002-09-04,-0.0279010785083318,8425.12
2002-09-05,-0.0169279909720354,8283.7
2002-09-06,0.0171748412585908,8427.2
2002-09-09,0.0108789984933233,8519.38
2002-09-10,0.00972207734796358,8602.61
2002-09-11,-0.00249537774871563,8581.17
2002-09-12,-0.0237927615520907,8379.41
2002-09-17,-0.0207230439233795,8207.55
2002-09-20,-0.0273619493435255,7986.02
2002-09-24,-0.0386654968044418,7683.13
2002-09-25,0.020443934062354,7841.82
2002-09-27,-0.0180623274589461,7701.45
2002-09-30,-0.0143227817862323,7591.93
2002-10-02,0.0213306114314763,7755.61
2002-10-04,-0.0297339166305016,7528.4
2002-10-07,-0.0141208025586753,7422.84
2002-10-08,0.010539934201726,7501.49
2002-10-10,0.00431780518967111,7533.95
2002-10-11,0.041131001120119,7850.29
2002-10-15,0.0503509745109959,8255.68
2002-10-16,-0.0269662681517914,8036.03
2002-10-17,0.0293085749419849,8275.04
2002-10-18,0.00570691968624661,8322.4
2002-10-21,0.0256042227937012,8538.24
2002-10-22,-0.0103695214671877,8450.16
2002-10-25,-0.00073043038854551,8443.99
2002-10-28,-0.00903525828665121,8368.04
2002-10-29,0.000107546283841833,8368.94
2002-11-07,0.0256336881827813,8586.24
2002-11-08,-0.00573603614847011,8537.13
2002-11-12,-0.0178612369954472,8386
2002-11-13,0.00148827903682739,8398.49
2002-11-14,0.0169584634363559,8542.13
2002-11-18,-0.00652547724181417,8486.57
2002-11-19,-0.00139021975242387,8474.78
2002-11-21,0.0427745919741825,8845.15
2002-11-22,-0.00456771591210249,8804.84
2002-11-25,0.00504808982177837,8849.4
2002-11-26,-0.0197406589131882,8676.42
2002-11-27,0.0289955058952272,8931.68
2002-12-04,-0.0219403431111474,8737.85
2002-12-05,-0.0131986412415676,8623.28
2002-12-09,-0.0175324976947273,8473.41
2002-12-10,0.0118316669061064,8574.26
2002-12-11,0.00173392261766832,8589.14
2002-12-13,-0.0182618444701687,8433.71
2002-12-16,0.022706414980036,8627.4
2002-12-17,-0.010722135676806,8535.39
2002-12-18,-0.010368266686913,8447.35
2002-12-19,-0.0098203577081832,8364.8
2002-12-20,0.0174456824029176,8512.01
2002-12-30,-0.0212725728926025,8332.85
2003-01-07,0.0477721585918332,8740.59
2003-01-08,-0.016760987444369,8595.31
2003-01-09,0.0208245275802377,8776.18
2003-01-10,0.000991966971741301,8784.89
2003-01-14,0.00655001261067795,8842.62
2003-01-15,-0.013599362487364,8723.18
2003-01-16,-0.00290568224161793,8697.87
2003-01-17,-0.01285901519492,8586.74
2003-01-21,-0.0168933014182576,8442.9
2003-01-22,-0.0148162525349559,8318.73
2003-01-23,0.00608096215956656,8369.47
2003-01-28,-0.034105227218486,8088.84
2003-01-29,0.00270007664247192,8110.71
2003-01-30,-0.0206262481876354,7945.13
2003-02-06,-0.00199440297978248,7929.3
2003-02-07,-0.00824012974755038,7864.23
2003-02-10,0.00708046499915787,7920.11
2003-02-13,-0.0217290255877548,7749.87
2003-02-14,0.0202999945395391,7908.8
2003-02-18,0.0165960442176824,8041.15
2003-02-19,-0.00505556892076364,8000.6
2003-02-20,-0.0107618992427859,7914.96
2003-02-21,0.0129480936334713,8018.11
2003-02-24,-0.0201400704656175,7858.24
2003-02-25,0.00650190586395273,7909.5
2003-02-26,-0.0130463633251344,7806.98
2003-02-28,0.0107148022881938,7891.08
2003-03-05,-0.0147423821137358,7775.6
